supermercado,producto_1,producto_2,peso_gr_ml,marca_1,marca_2,preco_euros,iva_perc,data,promocao,agente,link
Continente,alface_frisada,alface_frisada_continente,1000,continente,branca,1.19,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/alface-frisada-continente-2647366.html?cgid=home
Continente,arroz_agulha,arroz_agulha_branca,1000,branca,marca,1.19,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/arroz-agulha-europa-continente-6927230.html?cgid=home
Continente,arroz_agulha,arroz_agulha_cigala,1000,cigala,marca,1.69,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/arroz-agulha-cigala-2305902.html?cgid=home
Continente,atum_conserva,atum_conserva_bom_petisco,1000,bom_petisco,marca,16.15,6,29.03.2023,y,joana_viana,https://www.continente.pt/produto/atum-posta-em-oleo-bom-petisco-2003646.html?cgid=home
Continente,atum_conserva,atum_conserva_continente,1000,continente,branca,11.13,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/atum-em-oleo-continente-3697798.html?cgid=home
Continente,azeite,azeite_continente,1000,continente,branca,5.59,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/azeite-pet-oliveira-da-serra-4497768.html?cgid=home
Continente,azeite,azeite_oliveira_da_serra,1000,oliveira_da_serra,marca,6.92,6,29.03.2023,y,joana_viana,https://www.continente.pt/produto/azeite-continente-7082533.html?cgid=home
Continente,banana,banana_continente,1000,continente,branca,1.29,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/banana-continente-2597619.html?cgid=home
Continente,bifes_frango,bifes_frango_continente,1000,continente,branca,6.99,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/bifes-de-frango-continente-7068833.html?cgid=home
Continente,bifinhos_lombo,bifinhos_lombo_continente,1000,continente,branca,7.96,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/bifinhos-do-lombo-de-porco-continente-4927137.html?cgid=home
Continente,carapau_medio,carapau_medio_continente,1000,continente,branca,4.99,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/carapau-medio-fresco-continente-2147742.html?cgid=home
Continente,cebola,cebola_continente,1000,continente,branca,1.35,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/cebola-continente-3618608.html?cgid=home
Continente,cenoura,cenoura_continente,1000,continente,branca,1.39,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/cenoura-continente-5063155.html?cgid=home
Continente,esparguete,esparguete_continente,1000,continente,branca,1.6,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/massa-esparguete-continente-5254224.html?cgid=home
Continente,esparguete,esparguete_milaneza,1000,milaneza,marca,2.58,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/massa-esparguete-milaneza-7702575.html?cgid=home
Continente,iogurte_natural,iogurte_natural_continente,1000,continente,branca,1.49,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/iogurte-natural-continente-6804954.html?cgid=home
Continente,iogurte_natural,iogurte_natural_danone,1000,danone,marca,2.07,6,29.03.2023,y,joana_viana,https://www.continente.pt/produto/iogurte-natural-danone-4696631.html?cgid=home
Continente,laranja,laranja_continente,1000,continente,branca,1.49,6,29.03.2023,n,joana_viana,https://www.continente.pt/produto/laranja-nacional-igp-algarve-2507240.html?cgid=home
